Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240612910 |TGF240612910  |13 00 00.0|-89 25 00|2024-06-12 21:47:43.629|2024-06-12 21:57:58.040|2024-06-12 21:50:00.608|TGF         |     1.0000|
|bn241014617 |TGF241014617  |04 01 40.0|-85 08 00|2024-10-14 14:46:52.955|2024-10-14 14:56:59.176|2024-10-14 14:49:04.430|TGF         |     1.0000|
|bn240520949 |UNCERT24052094|18 28 31.9|-85 00 00|2024-05-20 22:44:15.253|2024-05-20 22:47:29.816|2024-05-20 22:46:28.375|UNCERT      |     1.0000|
|bn240619304 |UNCERT24061930|07 55 07.2|-83 46 48|2024-06-19 07:15:00.640|2024-06-19 07:25:15.053|2024-06-19 07:17:14.275|UNCERT      |     1.0000|
|bn240521839 |UNCERT24052183|11 48 52.1|-83 38 00|2024-05-21 20:06:12.638|2024-05-21 20:16:18.855|2024-05-21 20:08:24.224|UNCERT      |     1.0000|
|bn240531740 |LOCLPAR2405317|12 54 40.1|-83 29 00|2024-05-31 17:43:29.664|2024-05-31 17:53:35.881|2024-05-31 17:45:40.738|LOCLPAR     |     1.0000|
|bn240716723 |BELOWHZ2407167|15 37 48.0|-83 00 00|2024-07-16 17:18:22.794|2024-07-16 17:28:37.204|2024-07-16 17:20:37.964|UNCERT      |     1.0000|
|bn240703959 |LOCLPAR2407039|19 58 43.9|-82 01 00|2024-07-03 22:59:01.040|2024-07-03 23:09:15.450|2024-07-03 23:01:16.210|LOCLPAR     |     1.0000|
|bn241010857 |LOCLPAR2410108|04 49 56.0|-81 50 00|2024-10-10 20:31:07.775|2024-10-10 20:40:16.651|2024-10-10 20:33:22.946|LOCLPAR     |     1.0000|
|bn241012761 |LOCLPAR2410127|21 40 24.0|-80 57 00|2024-10-12 18:13:42.189|2024-10-12 18:23:56.602|2024-10-12 18:15:59.408|LOCLPAR     |     1.0000|
