GRBname|Trig_ID|Trig_time_met|Trig_time_UTC|RA_ground|DEC_ground|Image_position_err|Image_SNR|T90|T90_err|T50|T50_err|Evt_start_sincetrig|Evt_stop_sincetrig|pcode|Trigger_method|XRT_detection|comment
GRB241006A|1258721|749944352.576|2024-10-06T21:51:58.270480|3.047794e+02|-4.080480e+01|1.830146e+00|1.282740e+01|4.700000e+01|9.848858e+00|1.700000e+01|7.615773e+00|-240|963|0.6562|ratetrigger|Yes|
GRB241002A|1257556|749523057.152|2024-10-02T00:50:22.875360|1.409424e+02|3.983111e+01|9.677698e-01|3.187455e+01|4.330400e+01|4.392307e+00|1.445600e+01|2.001668e+00|-239|963|0.6875|ratetrigger|Yes|
GRB240912A|1253910|747798433.344|2024-09-12T01:46:39.185300|1.246227e+02|3.399498e+01|1.040790e+00|2.872856e+01|1.149320e+02|8.080113e+00|2.520800e+01|4.753945e-01|-239|963|0.8672|ratetrigger|Yes|
GRB240905E|1252695|747253597.760|2024-09-05T18:26:03.638540|3.457947e+02|3.551276e+01|1.877866e+00|1.236428e+01|1.211560e+02|3.133573e+01|5.106000e+01|1.099174e+01|-240|962|0.2227|ratetrigger|Yes|
GRB240904A|1252402|747158693.440|2024-09-04T16:04:19.325020|1.364422e+02|-3.051931e+01|1.782557e+00|1.331941e+01|1.262880e+02|1.153029e+01|5.901200e+01|1.243708e+01|-239|483|1.0000|ratetrigger|Yes|
GRB240829A|1251252|746596622.528|2024-08-29T03:56:28.451440|1.430706e+02|-1.869538e+01|1.350922e+00|1.979265e+01|4.297600e+01|8.639348e+00|1.876800e+01|2.061207e+00|-240|963|0.1523|ratetrigger|No|
GRB240825A|1250617|746294013.888|2024-08-25T15:52:59.832120|3.445701e+02|1.018934e+00|5.486407e-01|7.170741e+01|4.160000e+02|4.800000e+01|1.600000e+01|1.600000e+01|-240|962|0.5391|ratetrigger|Yes|
GRB240824A|1250282|746154239.552|2024-08-24T01:03:25.505660|2.131767e+02|6.373446e+01|1.363020e+00|1.954216e+01|3.944000e+01|3.427533e+00|2.360400e+01|2.921055e+00|-240|963|0.7266|ratetrigger|No|
GRB240811A|1248132|745078087.168|2024-08-11T14:07:33.195260|2.263394e+02|2.890127e+01|1.245794e+00|2.222114e+01|6.291200e+01|4.673577e+00|1.454000e+01|2.169892e+00|-239|963|0.7188|ratetrigger|Yes|
GRB240809A|1247745|744885063.552|2024-08-09T08:30:29.592500|2.375449e+02|-2.330404e+00|5.253207e-01|7.629778e+01|6.944000e+01|2.071389e+01|9.408000e+00|7.916363e-01|-240|963|0.7266|ratetrigger|Yes|
GRB240805B|1246989|744560968.064|2024-08-05T14:28:54.126720|2.542237e+02|1.831703e+01|1.321680e+00|2.042117e+01|6.499600e+01|2.550536e+00|3.030000e+01|1.067251e+00|-239|1121|0.8594|ratetrigger|Yes|
GRB240805A|1246907|744516176.576|2024-08-05T02:02:22.641800|1.909202e+02|-5.360193e+01|7.835277e-01|4.309921e+01|4.024400e+01|6.715023e+00|6.924000e+00|6.192253e-01|-240|963|0.3164|ratetrigger|Yes|
GRB240730A|1245636|744018760.000|2024-07-30T07:52:06.099900|3.784302e+01|5.904666e+01|1.918461e+00|1.199223e+01|5.011600e+01|7.963470e+00|2.955600e+01|5.998959e+00|-239|963|0.9844|imagetrigger|Yes|
GRB240727A|1245074|743744808.000|2024-07-27T03:46:14.118700|2.364509e+02|8.611614e+00|1.602475e+00|1.550812e+01|1.778840e+02|3.546310e+01|7.157200e+01|2.373673e+01|-239|963|1.0000|imagetrigger|Yes|
GRB240720A|1243868|743127925.120|2024-07-20T00:24:51.280960|9.672127e+01|3.029833e+01|2.778130e+00|7.066202e+00|1.834760e+02|7.147430e+01|8.246800e+01|3.859075e+01|-239|963|0.5781|ratetrigger|No|
GRB240712A|1242223|742447666.624|2024-07-12T03:27:12.831520|1.223796e+02|-3.709728e+01|2.488589e+00|8.269343e+00|1.278000e+01|2.711059e+00|6.732000e+00|3.548431e+00|-240|962|0.9375|ratetrigger|Yes|
GRB240624A|1238732|740901703.680|2024-06-24T06:01:09.993340|1.024727e+02|-6.537435e+00|1.744617e+00|1.373512e+01|5.888000e+00|2.000448e+00|1.536000e+00|7.491008e-01|-240|962|0.4961|ratetrigger|No|
GRB240529A|1231488|738644344.320|2024-05-29T02:58:30.788060|3.353405e+02|5.155731e+01|8.706068e-01|3.707549e+01|1.589720e+02|1.297622e+01|6.524000e+01|1.356260e+00|-239|963|0.2617|ratetrigger|Yes|
GRB240523A|1230423|738168225.408|2024-05-23T14:43:11.908720|3.353671e+01|-2.205154e+01|1.623625e+00|1.522035e+01|4.193200e+01|8.651784e+00|2.311600e+01|5.506006e+00|-239|963|0.4727|ratetrigger|Yes|
GRB240516A|1228797|737523421.760|2024-05-16T03:36:28.304860|2.127831e+02|-6.349352e+01|1.644494e+00|1.494517e+01|8.512000e+01|3.114848e+01|2.828800e+01|9.802870e+00|-240|962|0.4570|ratetrigger|Yes|
GRB240511A|1227767|737143646.656|2024-05-11T18:06:53.226840|3.366685e+02|8.514165e+00|6.892327e-01|5.176358e+01|1.485360e+02|1.706579e+01|5.998800e+01|2.395973e+00|-240|962|0.8516|ratetrigger|Yes|
GRB240421B|1223470|735385407.360|2024-04-21T09:42:54.051140|2.996875e+02|-1.486873e+01|1.314076e+00|2.059020e+01|1.240000e+01|2.603874e+00|3.424000e+00|4.751758e-01|-239|963|0.0474|ratetrigger|Yes|
GRB240419B|1223072|735222205.632|2024-04-19T12:22:52.334300|3.258913e+02|4.232397e+00|1.456437e+00|1.777642e+01|1.445520e+02|1.222421e+01|1.049760e+02|4.829165e+00|-240|963|0.4336|ratetrigger|Yes|
GRB240419A|1222955|735184114.432|2024-04-19T01:48:01.136900|9.455062e+01|-4.497245e+01|3.173994e+00|5.841687e+00|1.142560e+02|3.313465e+01|5.781600e+01|3.673541e+01|-239|963|0.9141|ratetrigger|Yes|
GRB240418A|1222885|735164681.472|2024-04-18T20:24:08.178240|2.393339e+02|2.361226e+01|2.207696e+00|9.812429e+00|1.242800e+01|3.544425e+00|5.848000e+00|2.921929e+00|-239|963|0.7422|ratetrigger|Yes|
GRB240415A|1221874|734855246.400|2024-04-15T06:26:53.127400|1.291904e+02|7.315493e+01|1.084462e+00|2.709021e+01|3.080000e+01|3.814885e+00|3.904000e+00|6.887438e-01|-239|963|0.6016|ratetrigger|Yes|
GRB240414A|1221714|734754069.696|2024-04-14T02:20:36.430320|1.848343e+02|5.673030e+01|1.475041e+00|1.745701e+01|1.565240e+02|1.702151e+02|3.988800e+01|5.279470e+00|-240|962|0.9141|ratetrigger|Yes|
GRB240411B|1221183|734542407.104|2024-04-11T15:32:53.852800|2.315627e+02|-2.173305e+00|3.641537e+00|4.800463e+00|3.326400e+01|1.442220e+00|2.982400e+01|2.117095e+01|-239|963|0.5312|ratetrigger|Yes|
GRB240222A|1216804|730284724.288|2024-02-22T08:51:31.328680|1.432078e+02|-6.803141e+01|1.825357e+00|1.287551e+01|3.944000e+00|2.334883e+00|9.799999e-01|2.364474e+00|-239|963|0.9453|ratetrigger|Yes|
GRB240218A|1215912|729914433.600|2024-02-18T02:00:00.666060|1.618058e+02|1.289783e+00|1.186071e+00|2.383670e+01|2.580320e+02|2.673540e+01|4.666400e+01|2.015749e+01|-240|963|0.3672|ratetrigger|Yes|
GRB240205B|1213095|728864019.648|2024-02-05T22:13:06.785960|3.514653e+02|-5.512333e+01|4.799144e-01|8.681578e+01|4.730400e+01|2.916711e-01|2.371600e+01|4.311473e-01|-240|962|0.9844|ratetrigger|No|
GRB240204A|1212898|728752103.488|2024-02-04T15:07:50.633620|1.042879e+02|1.077073e+00|1.263441e+00|2.177910e+01|1.630400e+01|1.850820e+00|3.744000e+00|3.375204e-01|-239|963|0.0967|ratetrigger|Yes|
GRB240123A|1210276|727700779.648|2024-01-23T11:05:46.865580|1.993003e+02|6.061257e+01|2.074763e+00|1.072275e+01|8.984000e+01|4.558216e+01|3.161600e+01|1.827133e+01|-240|1236|0.3125|ratetrigger|Yes|
GRB240112C|1208389|726773877.696|2024-01-12T17:37:24.977140|2.706416e+02|2.449485e+01|6.283753e-01|5.907134e+01|4.924000e+00|3.354520e-01|2.540000e+00|6.324560e-02|-240|962|0.6094|ratetrigger|Yes|
GRB240109A|1207446|726465727.824|2024-01-09T04:01:35.126280|3.013236e+02|1.654000e+01|2.662948e+00|7.506845e+00|8.000004e-02|3.577705e-02|4.799998e-02|2.262746e-02|-240|962|0.6797|ratetrigger|No|
GRB240102A|1205899|725909728.000|2024-01-02T17:34:55.340440|9.686681e+01|-2.004133e+01|1.887279e+00|1.227628e+01|1.143040e+02|3.597454e+01|4.624000e+01|1.394294e+01|-239|963|1.0156|imagetrigger|Yes|
GRB240101B|1205744|725833572.032|2024-01-01T20:25:39.377680|3.520924e+02|5.162062e+01|2.353158e+00|8.957532e+00|1.340160e+02|3.900793e+01|3.904000e+01|3.778304e+01|-239|963|1.0156|ratetrigger|Yes|
GRB240101A|1205708|725811649.984|2024-01-01T14:20:17.331180|1.032464e+01|8.534202e+00|2.203620e+00|9.838368e+00|1.641600e+01|3.391132e+00|7.888000e+00|2.479548e+00|-240|962|0.6641|ratetrigger|Yes|
